"HolderAddress","Balance","PendingBalanceUpdate"
"0x10084fdf5dd47764615fb7af2b6ccc7e4b8476ed","6714","No"
"0x11e2f7ae907e29d57a2011d59d6778e2d6151a2b","514","No"
"0x33f0f18dcce9cefd060b8a3c908ef958931fc9c5","3765","No"
"0xf18d3a8c9aa93f306a455e27658bf52d557bcd81","2123","No"
"0x587e229ad2fa5d2cc55b68729e1bc64cfd2ff0ee","34315","No"
"0x12e4cc3cf0cfea26ae975abe8d1f2ea346d2440c","733","No"
"0x2533ef6968c8f6782779ba2379254a741f4a19d5","5253","No"
"0x85bd3030057899182d7aec30f7b4abe56cf6c95e","1042","No"
"0x71a25d8a87e18917c3282630f024edb71942f21f","30","No"
"0xbe030bf4b261cda3b7f539ae51e0ac7969128ed8","1275","No"
"0x4d4c19f4b92a1c50870bca71275b8f89c12defa9","1310","No"
"0x45793f6796ea56d00b2ebb3e6eb7ad1e4302bc12","4890","No"
"0xd193e9276aec4b5893dc4dd53e18c9702cdbe6c2","112.307465083789","No"
"0x8015766c990dceaabe27953e7cfdc5424402b7fa","3048","No"
"0x6059749faffbe8bd5591fc93ff0147e574f00101","6125","No"
"0x1f599de14ce9ef256d6461141a7192a6fa7792b0","521","No"
"0x0bea098b200dc6f418fe8ddb362c7fa2da5f90c6","0.0824479598239094","No"
"0xfba1374d8c3c813d5da2556cdfed99614b7107c4","5061","No"
"0x6eaf5713ebe92ffde5653888b59037d37fcb9cbe","3196","No"
"0xadc965708ea7fb47e247f583b0a33d9a138ae1bf","1398","No"
"0x046bbc1f215a8f72a701356de02b0a16aa6dd3f9","63.1167319674869","No"
"0x5feb9f59763d7af938b6d42400abdf67f444ea9b","3621","No"
"0x2d48e46f5e492ce32b812643131cfefc85879afd","5045","No"
"0xdc7d09038c537e68fb747ce192e6efae82b0b673","10","No"
"0x3a7aa89ab1522a7d7dedeec1c7096406544b3fcb","358","No"
"0xd4a7493fafb4f48e3dd176d50f6dcc0a4deebd85","631","No"
"0x5e050c8ae457012f1e7c786f387b83c1de72ad3b","5046","No"
"0x9c2f15f6b3cc2f0894fc45436ccbb65991e6d4b8","58","No"
"0x140be3da1f10cf6f736251e53ce47d1dc50f3f2d","0.720384132924833","No"
"0xf5dab9cea7baf6036db5c25c64512640931147be","624","No"
"0x064915a4dd54fabca5613be602d8b904cac25610","0.726504605057966","No"
"0xefb752684ac27aae5dbc7574d5c5f95477c36def","0.00852523036535102","No"
"0xae62ffb6fefdcdbc60c93bbf30115f442c70eefd","10","No"
"0xd40be7254fca726171111e4a8db7a563c35a28dd","1406","No"
"0x2683b1f16d11611693a70c6eec72c2d4f919f900","13","No"
"0x2111811113f05390d86424f98031da8eba140a73","24712","No"
"0x8dcb5940236f10f88364e16e67f512275706e4a4","4.3536584687612E-05","No"
"0x838240d027ccef407ddd66ebd335c7d8e83ee61b","3E-05","No"
"0x6dc0a71764210cbef863d6599d08f25f98858b3f","1776","No"
"0xd6cea8438623aa434b4e629c1e186c19f0c3e2e4","20","No"
"0x603ffb9f797ab3f2b0940bd6ae8211dacaf0012a","5836","No"
"0xa01ce25d5f66c19ea69ab3134963c093861a000a","100","No"
"0xcfeb54351c714b333570419172f8a5b1a7f1a19a","53910","No"
"0x0d91caed1cb2fd3f787572c414f4fd9433607991","14287","No"
"0xd495cad0d987463dcf379653c92625f39918aa64","0.0284496703401043","No"
"0x6ade49002435c2dfac9e8ffa699347d0edb06ad3","330.258705916504","No"
"0x0cca1d445b50d07137410bba3f8fccf7df615254","4732","No"
"0xeee3acee16b2db470414a494f19c11e8bf153347","1016","No"
"0xe941844bed8cb32195d4b40c12536a6ed0aa9c5d","6528","No"
"0x42a239f152d7081343e93662e15fef452b86003a","2139","No"
"0xcf66d8ce3847b28294476dc906a8e3850765b376","729","No"
"0x84f28e70a2fee13683d92d354edc90f5a18fcd82","3493","No"
"0x205b978e8ad9ce7a2b23ec138cedf482f3629ae6","114","No"
"0xaee1bc6450d426ab0c512469a6b1f4278fdafedf","20","No"
"0xdc1612315a8df9b0dffe825bcee370d6180cd0b6","138.936841038732","No"
"0x27c97f162f1424282dfc448a39c911bb752bc8d7","0.00988943816610123","No"
"0xa2d552b23440459d3437d6015679dddc553e106b","1265","No"
"0x03cdb8654c01f263a721d79f513bfb7bd58aa53d","5404","No"
"0xef6e6a8eb332e0ea5d2999d8c634e91e4be193ce","101","No"
"0x39d9dd729972e3f81a8388bcce331f444c2f8fcc","1","No"
"0x53aa6c3978ea8cc16c69d56ade22dc577052b13e","1330","No"
"0x98d4a0794b3d7ceec570fd49e322da32894cb9c1","4675.45997543","No"
"0x50fd356b411b76354767df2404f5868c521902c9","1310","No"
"0x8df7d5e77ed5427357bf63cadbfd1acd336296f3","13","No"
"0x58c84dcb21db3445c0a37920d9795db4436ca2b8","761","No"
"0x89bc260599e077f2247980efc17ec4c46ac7917a","0.5","No"
"0xb783b782669304031124dd168b1434956b51d5d8","1056","No"
"0xa9fe0acefdd9d8a0f2a4a4cb54e8ba88385a6883","1351","No"
"0xb683045eeb7cbb4172b9ffd4abe90bb97ad9460e","30.9240542174109","No"
"0x1fa3dd9fa34ea8047c05eb6cc770ba1332818040","11687","No"
"0x8a8742c1a7f9806119f2c801cbd2ac6036a40d69","16193","No"
"0x065fd57d69a61dbd6615f20c68ed3b4efe413b91","9458","No"
"0x94e8ff8cc2347912072d000d2c3ad56385ae7616","23119.85","No"
"0xac8046eaedacdd2ce6df84370138bbba27c724e7","5823","No"
"0x5c199bb815d4cbff3bfe72f3953a98b9fc5ef303","2661","No"
"0x9182d6431f74d9c63c21b3fa7197f044579d37f0","4293","No"
"0xf568ab060acd91fe4861e52136deb08ca1f26574","92","No"
"0xb52513cf25212147d92a9c4cd5a339faab60ada0","43","No"
